Temp(C),Water_Density
0,0.999841
0.1,0.999847
0.2,0.999854
0.3,0.99986
0.4,0.999866
0.5,0.999872
0.6,0.999878
0.7,0.999884
0.8,0.999889
0.9,0.999895
1,0.9999
1.1,0.999905
1.2,0.999909
1.3,0.999914
1.4,0.999918
1.5,0.999923
1.6,0.999927
1.7,0.99993
1.8,0.999934
1.9,0.999938
2,0.999941
2.1,0.999944
2.2,0.999947
2.3,0.99995
2.4,0.999953
2.5,0.999955
2.6,0.999958
2.7,0.99996
2.8,0.999962
2.9,0.999964
3,0.999965
3.1,0.999967
3.2,0.999968
3.3,0.999969
3.4,0.99997
3.5,0.999971
3.6,0.999972
3.7,0.999972
3.8,0.999973
3.9,0.999973
4,0.999973
4.1,0.999973
4.2,0.999973
4.3,0.999972
4.4,0.999972
4.5,0.999972
4.6,0.99997
4.7,0.999969
4.8,0.999968
4.9,0.999966
5,0.999965
5.1,0.999963
5.2,0.999961
5.3,0.999959
5.4,0.999957
5.5,0.999955
5.6,0.999952
5.7,0.99995
5.8,0.999947
5.9,0.999944
6,0.999941
6.1,0.999938
6.2,0.999935
6.3,0.999931
6.4,0.999927
6.5,0.999924
6.6,0.99992
6.7,0.999916
6.8,0.999911
6.9,0.999907
7,0.999902
7.1,0.999898
7.2,0.999893
7.3,0.999888
7.4,0.999883
7.5,0.999877
7.6,0.999872
7.7,0.999866
7.8,0.999861
7.9,0.999855
8,0.999849
8.1,0.999843
8.2,0.999837
8.3,0.99983
8.4,0.999824
8.5,0.999817
8.6,0.99981
8.7,0.999803
8.8,0.999796
8.9,0.999789
9,0.999781
9.1,0.999774
9.2,0.999766
9.3,0.999758
9.4,0.999751
9.5,0.999742
9.6,0.999734
9.7,0.999726
9.8,0.999717
9.9,0.999709
10,0.9997
10.1,0.999691
10.2,0.999682
10.3,0.999673
10.4,0.999664
10.5,0.999654
10.6,0.999645
10.7,0.999635
10.8,0.999625
10.9,0.999615
11,0.999605
11.1,0.999595
11.2,0.999585
11.3,0.999574
11.4,0.999564
11.5,0.999553
11.6,0.999542
11.7,0.999531
11.8,0.99952
11.9,0.999509
12,0.999498
12.1,0.999486
12.2,0.999475
12.3,0.999463
12.4,0.999451
12.5,0.999439
12.6,0.999427
12.7,0.999415
12.8,0.999402
12.9,0.99939
13,0.999377
13.1,0.999364
13.2,0.999352
13.3,0.999339
13.4,0.999326
13.5,0.999312
13.6,0.999299
13.7,0.999285
13.8,0.999272
13.9,0.999258
14,0.999244
14.1,0.99923
14.2,0.999216
14.3,0.999202
14.4,0.999188
14.5,0.999173
14.6,0.999159
14.7,0.999144
14.8,0.999129
14.9,0.999114
15,0.999099
15.1,0.999084
15.2,0.999069
15.3,0.999054
15.4,0.999038
15.5,0.999023
15.6,0.999007
15.7,0.998991
15.8,0.998975
15.9,0.998959
16,0.998943
16.1,0.998926
16.2,0.99891
16.3,0.998893
16.4,0.998877
16.5,0.99886
16.6,0.998843
16.7,0.998826
16.8,0.998809
16.9,0.998792
17,0.998774
17.1,0.998757
17.2,0.998739
17.3,0.998722
17.4,0.998704
17.5,0.998686
17.6,0.998668
17.7,0.99865
17.8,0.998632
17.9,0.998613
18,0.998595
18.1,0.998576
18.2,0.998558
18.3,0.998539
18.4,0.99852
18.5,0.998501
18.6,0.998482
18.7,0.998463
18.8,0.998444
18.9,0.998424
19,0.998405
19.1,0.998385
19.2,0.998365
19.3,0.998345
19.4,0.998325
19.5,0.998305
19.6,0.998285
19.7,0.998265
19.8,0.998244
19.9,0.998224
20,0.998203
20.1,0.998183
20.2,0.998162
20.3,0.998141
20.4,0.99812
20.5,0.998099
20.6,0.998078
20.7,0.998056
20.8,0.998035
20.9,0.998013
21,0.997992
21.1,0.99797
21.2,0.997948
21.3,0.997926
21.4,0.997904
21.5,0.997882
21.6,0.99786
21.7,0.997837
21.8,0.997815
21.9,0.997792
22,0.99777
22.1,0.997747
22.2,0.997724
22.3,0.997701
22.4,0.997678
22.5,0.997655
22.6,0.997632
22.7,0.997608
22.8,0.997585
22.9,0.997561
23,0.997538
23.1,0.997514
23.2,0.99749
23.3,0.997466
23.4,0.997442
23.5,0.997418
23.6,0.997394
23.7,0.997369
23.8,0.997345
23.9,0.99732
24,0.997296
24.1,0.997271
24.2,0.997246
24.3,0.997221
24.4,0.997196
24.5,0.997171
24.6,0.997146
24.7,0.99712
24.8,0.997095
24.9,0.997069
25,0.997044
25.1,0.997018
25.2,0.996992
25.3,0.996967
25.4,0.996941
25.5,0.996914
25.6,0.996888
25.7,0.996862
25.8,0.996836
25.9,0.996809
26,0.996783
26.1,0.996756
26.2,0.996729
26.3,0.996703
26.4,0.996676
26.5,0.996649
26.6,0.996621
26.7,0.996594
26.8,0.996567
26.9,0.99654
27,0.996512
27.1,0.996485
27.2,0.996457
27.3,0.996429
27.4,0.996401
27.5,0.996373
27.6,0.996345
27.7,0.996317
27.8,0.996289
27.9,0.996261
28,0.996232
28.1,0.996204
28.2,0.996175
28.3,0.996147
28.4,0.996118
28.5,0.996089
28.6,0.99606
28.7,0.996031
28.8,0.996002
28.9,0.995973
29,0.995944
29.1,0.995914
29.2,0.995885
29.3,0.995855
29.4,0.995826
29.5,0.995796
29.6,0.995766
29.7,0.995736
29.8,0.995706
29.9,0.995676
30,0.995646
30.1,0.995616
30.2,0.995586
30.3,0.995555
30.4,0.995525
30.5,0.995494
30.6,0.995464
30.7,0.995433
30.8,0.995402
30.9,0.995371
